time,price,number
Nov 16 2015 01 0,38.363,207
Nov 17 2015 01 0,39.527,190
Nov 18 2015 01 0,38.76,196
Nov 19 2015 01 0,39.246,173
Nov 20 2015 01 0,39.443,245
Nov 21 2015 01 0,39.827,267
Nov 22 2015 01 0,38.617,202
Nov 23 2015 01 0,38.585,215
Nov 24 2015 01 0,38.045,232
Nov 25 2015 01 0,38.734,236
Nov 26 2015 01 0,34.225,324
Nov 27 2015 01 0,35.397,350
Nov 28 2015 01 0,34.944,356
Nov 29 2015 01 0,34.149,318
Nov 30 2015 01 0,34.795,282
Dec 01 2015 01 0,35.75,244
Dec 02 2015 01 0,37.749,213
Dec 03 2015 01 0,38.026,215
Dec 04 2015 01 0,39.709,247
Dec 05 2015 01 0,39.829,293
Dec 06 2015 01 0,41.183,298
Dec 07 2015 01 0,40.601,247
Dec 08 2015 01 0,40.332,218
Dec 09 2015 01 0,42.289,361
Dec 10 2015 01 0,41.778,263
Dec 11 2015 01 0,41.783,255
Dec 12 2015 01 0,41.927,294
Dec 13 2015 01 0,40.307,266
Dec 14 2015 01 0,40.325,196
Dec 15 2015 01 0,40.774,209
Dec 16 2015 01 0,40.711,175
Dec 17 2015 01 0,38.603,187
Dec 18 2015 01 0,38.409,209
Dec 19 2015 01 0,39.417,222
Dec 20 2015 01 0,36.826,219
Dec 21 2015 01 0,36.544,247
Dec 22 2015 01 0,37.058,234
Dec 23 2015 01 0,32.755,285
Dec 24 2015 01 0,31.805,345
Dec 25 2015 01 0,37.343,343
Dec 26 2015 01 0,37.233,337
Dec 27 2015 01 0,35.109,330
Dec 28 2015 01 0,37.2,342
Dec 29 2015 01 0,36.48,319
Dec 30 2015 01 0,33.602,307
Dec 31 2015 01 0,34.094,324
Jan 01 2016 01 0,32.216,362
Jan 02 2016 01 0,32.269,340
Jan 03 2016 01 0,31.218,287
Jan 04 2016 01 0,32.15,340
Jan 05 2016 01 0,35.099,277
Jan 06 2016 01 0,35.465,230
Jan 07 2016 01 0,36.467,247
Jan 08 2016 01 0,37.268,270
Jan 09 2016 01 0,36.512,303
Jan 10 2016 01 0,36.213,258
Jan 11 2016 01 0,36.179,229
Jan 12 2016 01 0,35.965,207
Jan 13 2016 01 0,36.663,183
Jan 14 2016 01 0,37.742,233
Jan 15 2016 01 0,36.348,229
Jan 16 2016 01 0,36.021,274
Jan 17 2016 01 0,35.105,213
Jan 18 2016 01 0,34.636,214
Jan 19 2016 01 0,35.907,183
Jan 20 2016 01 0,35.536,198
Jan 21 2016 01 0,36.644,184
Jan 22 2016 01 0,36.957,236
Jan 23 2016 01 0,36.414,263
Jan 24 2016 01 0,34.647,232
Jan 25 2016 01 0,35.117,235
Jan 26 2016 01 0,35.277,197
Jan 27 2016 01 0,36.171,234
Jan 28 2016 01 0,35.446,218
Jan 29 2016 01 0,34.984,256
Jan 30 2016 01 0,36.167,295
Jan 31 2016 01 0,36.371,233
Feb 01 2016 01 0,34.381,275
Feb 02 2016 01 0,34.904,196
Feb 03 2016 01 0,36.755,224
Feb 04 2016 01 0,35.683,198
Feb 05 2016 01 0,35.429,254
Feb 06 2016 01 0,31.875,291
Feb 07 2016 01 0,29.608,254
Feb 08 2016 01 0,29.376,240
Feb 09 2016 01 0,29.22,220
Feb 10 2016 01 0,29.365,248
Feb 11 2016 01 0,29.887,213
Feb 12 2016 01 0,30.227,272
Feb 13 2016 01 0,32.376,274
Feb 14 2016 01 0,33.494,262
Feb 15 2016 01 0,33.07,214
Feb 16 2016 01 0,34.494,188
Feb 17 2016 01 0,33.095,220
Feb 18 2016 01 0,28.59,429
Feb 19 2016 01 0,31.093,321
Feb 20 2016 01 0,32.254,325
Feb 21 2016 01 0,31.645,312
Feb 22 2016 01 0,31.467,282
Feb 23 2016 01 0,32.526,244
Feb 24 2016 01 0,32.322,268
Feb 25 2016 01 0,31.619,215
Feb 26 2016 01 0,31.816,253
Feb 27 2016 01 0,31.984,327
Feb 28 2016 01 0,31.893,233
Feb 29 2016 01 0,32.14,280
Mar 01 2016 01 0,32.03,227
Mar 02 2016 01 0,33.271,206
