time,price,number
Apr 08 2015 01 0,31.019,507
Apr 09 2015 01 0,30.336,460
Apr 10 2015 01 0,31.205,481
Apr 11 2015 01 0,29.838,587
Apr 12 2015 01 0,28.912,534
Apr 13 2015 01 0,28.27,482
Apr 14 2015 01 0,27.425,437
Apr 15 2015 01 0,27.235,396
Apr 16 2015 01 0,24.831,915
Apr 17 2015 01 0,24.872,836
Apr 18 2015 01 0,24.297,774
Apr 19 2015 01 0,23.393,582
Apr 20 2015 01 0,22.014,676
Apr 21 2015 01 0,21.333,639
Apr 22 2015 01 0,21.653,528
Apr 23 2015 01 0,21.897,540
Apr 24 2015 01 0,21.992,620
Apr 25 2015 01 0,22.166,683
Apr 26 2015 01 0,21.378,651
Apr 27 2015 01 0,21.588,563
Apr 28 2015 01 0,22.057,463
Apr 29 2015 01 0,22.695,462
Apr 30 2015 01 0,22.209,606
May 01 2015 01 0,23.147,657
May 02 2015 01 0,22.528,730
May 03 2015 01 0,21.959,646
May 04 2015 01 0,21.724,581
May 05 2015 01 0,22.037,540
May 06 2015 01 0,22.124,512
May 07 2015 01 0,22.617,433
May 08 2015 01 0,22.121,651
May 09 2015 01 0,22.221,602
May 10 2015 01 0,22.29,556
May 11 2015 01 0,21.966,482
May 12 2015 01 0,22.796,417
May 13 2015 01 0,22.476,495
May 14 2015 01 0,23.197,487
May 15 2015 01 0,23.205,443
May 16 2015 01 0,23.16,540
May 17 2015 01 0,23.058,535
May 18 2015 01 0,22.799,421
May 19 2015 01 0,23.788,460
May 20 2015 01 0,23.505,377
May 21 2015 01 0,23.343,372
May 22 2015 01 0,23.583,405
May 23 2015 01 0,23.121,482
May 24 2015 01 0,22.621,467
May 25 2015 01 0,22.743,424
May 26 2015 01 0,22.95,437
May 27 2015 01 0,17.788,897
May 28 2015 01 0,20.267,546
May 29 2015 01 0,21.584,556
May 30 2015 01 0,22.289,524
May 31 2015 01 0,21.832,529
Jun 01 2015 01 0,22.733,524
Jun 02 2015 01 0,23.03,394
Jun 03 2015 01 0,22.287,449
Jun 04 2015 01 0,20.924,469
Jun 05 2015 01 0,20.251,452
Jun 06 2015 01 0,20.022,421
Jun 07 2015 01 0,20.06,433
Jun 08 2015 01 0,20.717,386
Jun 09 2015 01 0,21.199,390
Jun 10 2015 01 0,20.892,428
Jun 11 2015 01 0,19.87,428
Jun 12 2015 01 0,19.698,489
Jun 13 2015 01 0,18.948,512
Jun 14 2015 01 0,18.632,451
Jun 15 2015 01 0,18.04,454
Jun 16 2015 01 0,18.871,440
Jun 17 2015 01 0,18.665,413
Jun 18 2015 01 0,18.792,372
Jun 19 2015 01 0,18.756,427
Jun 20 2015 01 0,18.466,431
Jun 21 2015 01 0,18.035,420
Jun 22 2015 01 0,18.336,417
Jun 23 2015 01 0,18.722,317
Jun 24 2015 01 0,19.979,374
Jun 25 2015 01 0,23.089,371
Jun 26 2015 01 0,22.029,361
Jun 27 2015 01 0,20.629,352
Jun 28 2015 01 0,20.849,358
Jun 29 2015 01 0,20.259,394
Jun 30 2015 01 0,20.542,396
Jul 01 2015 01 0,20.717,343
Jul 02 2015 01 0,20.589,358
Jul 03 2015 01 0,21.278,321
Jul 04 2015 01 0,21.034,335
Jul 05 2015 01 0,20.501,367
Jul 06 2015 01 0,20.141,342
Jul 07 2015 01 0,20.412,341
Jul 08 2015 01 0,20.475,354
Jul 09 2015 01 0,20.347,379
Jul 10 2015 01 0,20.464,331
Jul 11 2015 01 0,20.518,344
Jul 12 2015 01 0,19.923,347
Jul 13 2015 01 0,19.841,342
Jul 14 2015 01 0,19.747,315
Jul 15 2015 01 0,19.799,318
Jul 16 2015 01 0,20.618,344
Jul 17 2015 01 0,20.253,309
Jul 18 2015 01 0,19.596,340
Jul 19 2015 01 0,19.075,388
Jul 20 2015 01 0,19.438,373
Jul 21 2015 01 0,19.214,382
Jul 22 2015 01 0,19.845,347
Jul 23 2015 01 0,19.156,371
Jul 24 2015 01 0,19.638,352
Jul 25 2015 01 0,19.471,329
Jul 26 2015 01 0,19.794,305
Jul 27 2015 01 0,19.687,354
Jul 28 2015 01 0,19.983,326
Jul 29 2015 01 0,19.302,341
Jul 30 2015 01 0,19.826,362
Jul 31 2015 01 0,19.446,354
Aug 01 2015 01 0,19.169,320
Aug 02 2015 01 0,19.172,316
Aug 03 2015 01 0,19.075,347
Aug 04 2015 01 0,19.067,300
Aug 05 2015 01 0,18.866,335
Aug 06 2015 01 0,18.772,362
Aug 07 2015 01 0,18.619,348
Aug 08 2015 01 0,18.609,336
Aug 09 2015 01 0,18.82,342
Aug 10 2015 01 0,18.937,383
Aug 11 2015 01 0,19.661,358
Aug 12 2015 01 0,19.191,342
Aug 13 2015 01 0,19.306,341
Aug 14 2015 01 0,18.784,359
Aug 15 2015 01 0,16.959,478
Aug 16 2015 01 0,16.547,364
Aug 17 2015 01 0,16.977,339
Aug 18 2015 01 0,17.274,322
Aug 19 2015 01 0,17.024,296
Aug 20 2015 01 0,17.317,381
Aug 21 2015 01 0,17.448,427
Aug 22 2015 01 0,17.756,401
Aug 23 2015 01 0,16.979,475
Aug 24 2015 01 0,16.849,418
Aug 25 2015 01 0,18.555,349
Aug 26 2015 01 0,19.215,388
Aug 27 2015 01 0,20.264,352
Aug 28 2015 01 0,20.15,371
Aug 29 2015 01 0,19.435,382
Aug 30 2015 01 0,19.761,426
Aug 31 2015 01 0,20.014,386
Sep 01 2015 01 0,21.194,442
Sep 02 2015 01 0,21.533,350
